ID,cluster,Kernel_Density_TWA,Slope,Min_Distance_to_Location_Chain,Travel_to_Enjoyment,Travel_to_Pathology,AIC,group
017zb0fz,2,-0.670404803,-0.701810039,-0.383713027,1.096400008,-1.190132031,0.074920817,online_300
017zb0fz,2,-0.670404803,-0.772081234,0.073006617,0.72223213,-1.100432794,0.473889909,online_300
017zb0fz,2,-0.670403994,-0.324348332,-0.48014949,1.200278107,-1.178138769,0.131700606,online_300
017zb0fz,2,-0.670404803,-0.767660028,-0.088728884,1.238660308,-1.16770223,0.208628108,online_300
017zb0fz,2,1.986233797,-0.226691286,-0.497820099,1.06961114,-1.219043691,-0.091738297,online_300
017zb0fz,2,1.369474,-0.017440426,-0.498249744,1.123734939,-1.201316031,0.370918201,online_300
017zb0fz,2,-0.648382223,-0.312030364,-0.4918074,0.769930339,-1.16824634,0.874602924,online_300
017zb0fz,1,-0.670404803,-0.7800403,1.670886929,-0.161700918,-1.196193186,0.010727017,online_300
017zb0fz,2,-0.670404803,-0.619090878,-0.409717802,0.713630742,-1.160011926,-0.397060379,online_300
017zb0fz,2,-0.670404803,-0.71170137,-0.387872378,0.987111412,-1.183086071,-0.186201833,online_300
017zb0fz,2,0.126201384,-0.204000029,-0.490083029,0.97304044,-1.207328,0.803203207,online_300
017zb0fz,2,-0.670404803,-0.70784629,-0.360819204,-0.146414201,-1.20062013,0.077062086,online_300
017zb0fz,2,1.080039697,0.607098309,-0.490412716,0.464037017,-1.2190007,1.103329906,online_300
017zb0fz,2,0.20214942,-0.377003842,-0.497976649,0.093146106,-1.176430031,0.401000747,online_300
017zb0fz,2,-0.422067747,-0.17038429,-0.493349928,0.891074817,-1.23679903,-0.709323207,online_300
017zb0fz,4,0.793103034,1.11822672,-0.002840421,0.11230919,-1.24104336,0.080606114,online_300
017zb0fz,2,0.336030346,0.068300977,-0.486047786,1.031496497,-1.19600279,0.327942409,online_300
017zb0fz,2,0.680081237,0.030700463,-0.490233901,0.801707786,-1.20093834,1.170601701,online_300
