ID,cluster,Kernel_Density_TWA,Slope,Min_Distance_to_Location_Chain,Travel_to_Enjoyment,Travel_to_Pathology,AIC,group
017zb0fz,2,-0.670404803,-0.766032432,0.012040362,0.612842423,-1.190079069,0.717124744,online_300
017zb0fz,2,0.027272864,-0.40968929,-0.000807003,1.126202463,-1.207000117,-0.041106209,online_300
017zb0fz,1,-0.670404803,-0.781833769,2.494307408,1.212204407,-1.194607778,0.364047331,online_300
03pby20s,3,-0.089600631,-0.49301902,-0.488212366,-0.710369687,-0.004622118,-0.37284367,online_300
03pby20s,1,-0.670404803,-0.78380836,2.227023082,-0.946130241,0.034413046,-0.037976143,online_300
03pby20s,2,2.122680781,-0.2710373,-0.000926319,-0.139638932,0.00139192,-1.624320903,online_300
03pby20s,4,0.109686463,2.012262342,-0.494241687,-1.017197803,0.094962909,0.738149843,online_300
03pby20s,2,-0.04402488,-0.401683816,-0.47646734,-0.002324627,0.009437087,0.176227099,online_300
03pby20s,2,-0.647048661,-0.287093263,-0.483980894,0.088768202,0.086612871,-0.414707,online_300
03pby20s,2,-0.670404717,-0.433348371,-0.467228019,0.172474003,0.040090094,0.071029188,online_300
03pby20s,4,0.247476663,2.373188233,-0.496489409,-0.006263249,0.071090642,-0.436809409,online_300
03pby20s,2,-0.666910973,-0.060307123,-0.477083687,0.134414743,0.028297044,-0.110169941,online_300
03pby20s,3,-0.670404803,-0.67740004,-0.406880336,-0.99023473,0.013896394,0.298011143,online_300
03pby20s,1,-0.670404803,-0.783322368,2.370771018,0.012391286,0.0410943,1.131207271,online_300
03pby20s,3,-0.103241084,-0.301097713,-0.492180763,-1.990132043,0.13146639,-0.668139008,online_300
03pby20s,1,-0.670404803,-0.783627294,2.600631308,0.278812223,0.034401093,0.047362096,online_300
03pby20s,3,1.380807077,0.202888408,-0.49607489,-0.332909014,0.037971809,1.028841282,online_300
03pby20s,3,-0.669843702,-0.042809974,-0.48047841,-2.018879291,0.191744701,-1.380206008,online_300
03pby20s,3,0.004776876,0.293121132,-0.489300026,-1.347693187,0.003164024,0.39462,online_300
03pby20s,2,-0.662690014,-0.461430038,-0.486070272,0.213044131,0.080008301,-0.391914982,online_300
03pby20s,4,0.867469322,3.7740072,-0.484478087,-2.103061963,0.160328069,0.003797114,online_300
03pby20s,2,-0.670404803,-0.600849797,-0.434030862,0.060097886,0.040372449,-0.399694042,online_300
03pby20s,3,2.220060391,0.729017078,-0.49731002,-0.49071601,0.043832317,0.14287409,online_300
03pby20s,3,0.090964461,0.1722166,-0.486102884,-2.192686108,0.201471102,0.831200087,online_300
03y78sbe,3,-0.670404803,-0.640787273,-0.439021888,-1.172164239,0.680699637,0.130128,online_300
03y78sbe,3,-0.023622249,0.049024029,-0.494607034,-1.743700823,0.813994986,0.300770009,online_300
03y78sbe,3,-0.3983703,-0.009796618,-0.496004467,-0.01007894,0.710902269,0.134830147,online_300
03y78sbe,3,0.006204722,-0.280003107,-0.49409087,-0.790122984,0.870002088,0.473247781,online_300
03y78sbe,3,-0.292831819,-0.474447761,-0.480940888,-1.980726074,0.796364143,0.046940441,online_300
03y78sbe,4,0.672208098,4.49262087,-0.496410002,-1.104067801,0.872323163,-0.041112422,online_300
03y78sbe,3,0.71493162,0.01300834,-0.002901606,-1.480770329,0.807348809,-0.108023,online_300
03y78sbe,3,-0.36897633,-0.270446907,-0.49191337,-1.404163309,0.833600744,-1.364303022,online_300
03y78sbe,3,1.040333417,0.626427408,-0.490491286,-1.112140332,0.92423422,0.077674303,online_300
03y78sbe,3,-0.047841189,-0.467940011,-0.494026304,-1.769160801,0.891396293,0.49709006,online_300
03y78sbe,3,-0.670404803,-0.633833096,-0.4619789,-0.382078402,0.706392778,-0.007680764,online_300
03y78sbe,2,-0.670404803,-0.07419212,-0.420330017,0.123002417,0.702180399,-0.983070901,online_300
03y78sbe,3,-0.670404803,-0.693387499,-0.412202076,-1.021976083,0.696662807,-1.337730043,online_300
03y78sbe,1,-0.670404803,-0.78296384,1.978727922,-1.739763073,0.607403277,0.010301621,online_300
03y78sbe,2,-0.670404803,-0.699612129,-0.368070011,-0.016100203,0.713197746,-1.208747097,online_300
03y78sbe,2,-0.36043334,-0.460362619,-0.494238998,0.061438904,0.747306288,-0.472619699,online_300
03y78sbe,3,1.934041147,0.12001906,-0.492009988,-1.930969498,0.842831103,-0.100861021,online_300
03y78sbe,1,-0.670404803,-0.782028014,1.770246398,-1.88266262,0.609029089,0.210783098,online_300
03y78sbe,3,-0.664913477,-0.609642409,-0.488009608,-1.801003729,0.792429179,-0.049036787,online_300
03y78sbe,2,1.271142149,0.490076217,-0.00493029,-0.106907134,0.880249104,-2.302224662,online_300
03y78sbe,2,-0.668091968,-0.023827123,-0.480880998,0.130700464,0.76072034,0.308018433,online_300
04xu0tka,3,0.034031906,-0.003447471,-0.00043263,-0.623198671,-1.109777916,0.107078278,online_300
04xu0tka,1,-0.670404803,-0.78277329,2.140332906,-0.600302744,-1.131194133,0.016047709,online_300
04xu0tka,3,1.178628074,0.408137867,-0.498343006,-1.683496618,-0.966967799,-0.114102804,online_300
04xu0tka,4,2.960764643,2.247028349,-0.004869007,-3.429627172,-0.910788333,-0.630101918,online_300
04xu0tka,3,-0.340434706,-0.013874683,-0.498347643,-1.123172763,-1.20020994,-1.81020034,online_300
04xu0tka,4,1.438424899,1.844030824,-0.497816,-2.162187899,-0.937364698,-0.090012794,online_300
04xu0tka,4,0.463726087,2.224971122,-0.490877704,-3.166166202,-0.908808039,1.273020418,online_300
04xu0tka,4,0.4876438,2.197768334,-0.489409682,-1.040136484,-1.107639707,1.07233809,online_300
04xu0tka,3,-0.670404803,-0.762108424,-0.28891771,-1.437170989,-1.118081032,0.971279796,online_300
04xu0tka,3,-0.670404803,-0.69113006,-0.418048283,-2.62666223,-0.906380226,-1.086191039,online_300
04xu0tka,1,-0.670404803,-0.78410804,3.03800103,-2.740783287,-1.002000104,0.837209487,online_300
04xu0tka,3,-0.668068623,-0.090130221,-0.480184816,-2.323089077,-1.107903007,0.873013777,online_300
04xu0tka,3,-0.670403826,-0.030600912,-0.473340444,-1.200901319,-1.087378248,1.283666312,online_300
04xu0tka,3,1.12899303,0.784041009,-0.499706788,-2.10310243,-0.962940309,-0.324000623,online_300
04xu0tka,3,2.316080767,0.273312631,-0.497164622,-2.09202848,-0.980133002,0.429083267,online_300
04xu0tka,3,-0.663109978,-0.068871472,-0.483043146,-0.671263483,-1.22861702,-0.1367479,online_300
04xu0tka,3,1.126369201,0.14896883,-0.497276909,-2.7073382,-0.966727462,1.033701848,online_300
04xu0tka,3,0.73107388,0.449766463,-0.49228444,-2.866673213,-0.987307419,1.181403048,online_300
04xu0tka,4,2.104796003,2.406286301,-0.498034181,-2.178889336,-0.961682874,-0.440490896,online_300
04xu0tka,4,0.991784493,2.62323303,-0.492339908,-2.7929318,-0.998100447,0.438877093,online_300
04xu0tka,3,1.74424948,0.161763276,-0.001497907,-0.704014077,-1.100361004,-0.434809069,online_300
0g1t2c1n,2,-0.661673294,-0.623878267,-0.402709404,0.463823214,1.980241474,-1.293030946,online_300
0g1t2c1n,3,0.910823906,0.094781208,-0.491033422,-0.373737663,1.891967703,0.70407929,online_300
0g1t2c1n,4,1.269178702,1.172073848,-0.497438977,-0.207208489,2.000446496,0.000968227,online_300
0g1t2c1n,3,-0.670404178,-0.679674828,-0.408008307,-0.304910233,1.789672893,0.332430062,online_300
0g1t2c1n,3,-0.1788096,0.03421292,-0.491364671,-0.21400112,1.87086806,0.98388932,online_300
0g1t2c1n,2,-0.670404803,-0.713986363,-0.307303084,0.916093101,1.893393994,-0.811327276,online_300
0g1t2c1n,4,0.608000932,2.7126286,-0.499042339,-2.007246296,1.802610927,-0.6968431,online_300
0g1t2c1n,4,-0.001244369,2.116713027,-0.493130726,-1.047969026,1.78004983,-0.338129704,online_300
0g1t2c1n,2,-0.670404803,-0.073142444,-0.46731317,-0.081994609,1.702160094,-0.04409887,online_300
0g1t2c1n,2,-0.361099449,-0.00969843,-0.47801242,0.091460041,1.92983104,0.190806974,online_300
0g1t2c1n,3,0.11619968,0.742809078,-0.497680401,-1.400909306,1.720666024,0.278088861,online_300
0g1t2c1n,3,2.92960046,-0.606121634,-0.48643174,-0.812163274,1.942030239,-0.33690002,online_300
0g1t2c1n,1,-0.670404803,-0.783201208,2.220273476,-0.970099071,1.721881637,0.469964922,online_300
0g1t2c1n,3,-0.670173031,-0.617280123,-0.487840842,-1.083000066,1.634907099,0.79121211,online_300
0g1t2c1n,1,-0.670404803,-0.78399801,2.43320709,-1.610376429,1.660672497,0.26100667,online_300
0g1t2c1n,3,1.387984307,-0.2649084,-0.4980338,-0.600497469,1.766621494,0.8127018,online_300
0g1t2c1n,3,-0.670404803,-0.763270496,-0.006644922,-1.719103326,1.699296763,-0.67782,online_300
0g1t2c1n,3,0.6948332,0.684940043,-0.497600234,-0.309004407,1.942062648,0.269701603,online_300
0g1t2c1n,4,0.813096341,2.404710049,-0.001300807,0.290201098,1.911860301,-0.307009988,online_300
0g1t2c1n,2,-0.200007331,-0.10306033,-0.489841736,0.164400938,1.931786964,1.030439701,online_300
0g1t2c1n,2,-0.670404803,-0.701009892,-0.444148909,0.646887373,1.812471176,-0.143268229,online_300
0zg0arv2,1,-0.670404803,-0.782762232,2.04484199,-0.942413209,-0.960246209,-0.007978318,online_300
0zg0arv2,1,-0.670404803,-0.782096417,2.11806686,0.089204336,-1.1002313,-0.787260108,online_300
0zg0arv2,2,0.999408976,0.032303374,-0.0019769,0.109344477,-1.10812141,-0.887620487,online_300
0zg0arv2,1,-0.670404803,-0.783320826,2.101644966,-0.872418904,-0.913427932,0.000071333,online_300
0zg0arv2,2,-0.23993017,-0.148893463,-0.490011009,0.08084771,-1.141309472,0.040003984,online_300
0zg0arv2,2,-0.670404803,-0.744120733,-0.392842842,-0.0642663,-1.143947248,-1.699443137,online_300
0zg0arv2,3,0.306901783,0.047769396,-0.000084402,-0.701904074,-1.001003803,-0.618277033,online_300
0zg0arv2,2,-0.180888404,-0.40644278,-0.491009278,0.00493779,-1.132213677,0.207062019,online_300
0zg0arv2,2,-0.660421743,-0.422888772,-0.481643071,0.362614024,-1.170703792,0.173044329,online_300
0zg0arv2,2,-0.103440732,-0.310912094,-0.496870811,0.118392604,-1.000760018,-0.018338022,online_300
0zg0arv2,3,-0.062470297,0.17740246,-0.492380469,-1.003109982,-0.92944902,0.369726604,online_300
0zg0arv2,2,-0.670404803,-0.629619932,-0.467937423,0.160006309,-1.102084903,0.166409328,online_300
0zg0arv2,1,-0.670404803,-0.783974113,2.024890913,-0.694088237,-0.909140619,0.780946237,online_300
0zg0arv2,3,-0.219300799,-0.290190002,-0.480324044,-0.302233098,-1.06709027,1.277830366,online_300
0zg0arv2,1,-0.670404803,-0.784229292,1.876809016,0.41641983,-1.140304699,-1.010002178,online_300
0zg0arv2,3,-0.007323271,-0.020370989,-0.49606778,-0.709390491,-0.864443002,1.166242819,online_300
0zg0arv2,4,1.388069716,2.126828007,-0.003088303,-0.139896324,-1.071444076,-0.021206043,online_300
0zg0arv2,2,1.226816248,0.007604292,-0.494913416,-0.112272462,-0.9788197,-0.30877419,online_300
0zg0arv2,1,-0.670404803,-0.780029066,1.770002207,-0.07207109,-1.133331273,-0.094087234,online_300
0zg0arv2,4,0.04890297,1.293033644,-0.490471043,-0.100018677,-1.124726799,0.140708139,online_300
0zg0arv2,2,0.048311014,-0.072703373,-0.486346799,0.297740767,-1.140128111,-0.498660013,online_300
1ju7049y,3,-0.280690749,0.38283497,-0.490003827,-0.226313678,-0.393899672,-0.002382736,online_300
1ju7049y,2,-0.011000248,-0.232273136,-0.49600408,0.019670278,-0.474694623,0.693410821,online_300
1ju7049y,4,-0.280141812,2.0728297,-0.4992288,-1.084012631,-0.280642941,0.829028012,online_300
1ju7049y,2,-0.670404803,-0.747016301,-0.308626428,0.420601,-0.410237364,-0.48607232,online_300
1ju7049y,2,0.068104041,-0.306160467,-0.001222497,0.20007006,-0.420663401,-0.012096238,online_300
1ju7049y,1,-0.670404803,-0.7844609,1.989908408,0.018006333,-0.464044189,-0.228946911,online_300
1ju7049y,2,0.831960282,0.780000874,-0.493619466,-0.100847603,-0.390063008,0.263173889,online_300
1ju7049y,1,-0.670404803,-0.78420732,1.662466643,-1.804070363,-0.2231478,0.281776311,online_300
1ju7049y,1,-0.670404803,-0.78476201,1.909900607,-0.760672123,-0.37746636,0.334084406,online_300
1ju7049y,3,-0.670404803,-0.713300343,-0.390600934,-1.908911702,-0.246962789,-0.416162072,online_300
1ju7049y,2,-0.670403601,-0.080289697,-0.483046133,-0.011303273,-0.478879066,0.067160494,online_300
1ju7049y,3,-0.143183102,0.100793416,-0.492709631,-1.008083443,-0.38970293,0.24964946,online_300
1ju7049y,4,0.9030969,2.21729126,-0.488109473,0.20328474,-0.406066229,0.890438137,online_300
1ju7049y,4,-0.007307468,1.009844233,-0.492993163,0.190077986,-0.389940099,0.002769811,online_300
1ju7049y,1,-0.670404803,-0.784172481,2.280908974,-0.016432012,-0.42097901,-0.099606872,online_300
1ju7049y,2,-0.176947721,0.126461213,-0.49408369,0.19290473,-0.447494127,0.37937902,online_300
1ju7049y,3,-0.003344334,-0.447040087,-0.493100077,-0.36073096,-0.440817434,1.300619088,online_300
1ju7049y,1,-0.670404803,-0.782099883,2.400099909,-0.142440208,-0.460908026,-0.163976494,online_300
1ju7049y,1,-0.670404803,-0.78267103,2.148840707,0.203740067,-0.460410091,0.000078629,online_300
1ju7049y,4,0.466391932,2.4498201,-0.003030623,-0.601322061,-0.338720924,0.168938149,online_300
1ju7049y,1,-0.670404803,-0.781620043,2.02400007,-1.01483022,-0.360021361,0.380044677,online_300
1uhay8wy,1,-0.670404803,-0.782811017,2.7398893,0.381408746,-1.380289026,0.301710444,online_300
1uhay8wy,2,-0.670404803,-0.602204009,-0.470402069,0.860488847,-1.27040146,-0.710044803,online_300
1uhay8wy,2,0.283090024,-0.268948307,-0.002043933,0.74326206,-1.301993224,1.430209743,online_300
1uhay8wy,4,1.28698803,2.46474007,-0.000090121,0.36373786,-1.276024036,-0.0767799,online_300
1uhay8wy,2,0.617964109,0.313062308,-0.002387964,1.047604436,-1.269312161,-0.291238983,online_300
1uhay8wy,3,0.122927902,0.763960399,-0.000217718,-0.76842089,-1.342423962,0.614196241,online_300
1uhay8wy,1,-0.670404803,-0.784437376,2.706140993,0.082389083,-1.380030024,0.937290708,online_300
1uhay8wy,1,-0.670404803,-0.783036036,2.661240368,0.187787233,-1.386991929,0.914944439,online_300
1uhay8wy,2,0.006611778,0.366628462,-0.492939944,1.182387674,-1.316278331,0.302882227,online_300
1uhay8wy,2,-0.670404803,-0.739274839,-0.433740796,1.114009119,-1.280802328,0.268702428,online_300
1uhay8wy,2,-0.433340801,-0.69023243,-0.403017711,0.380481766,-1.379119802,-0.901906303,online_300
1uhay8wy,4,1.990428928,1.006777802,-0.49820809,0.100643023,-1.26690399,0.346081841,online_300
1uhay8wy,2,1.608876221,0.022272973,-0.003897389,0.99810022,-1.277077038,-0.303471161,online_300
1uhay8wy,2,0.60110337,-0.00038679,-0.494209,0.880342734,-1.282690879,0.04234001,online_300
1uhay8wy,2,-0.602707227,-0.481007882,-0.493021873,1.272326432,-1.306894999,0.120479303,online_300
1uhay8wy,2,-0.020490064,0.717640178,-0.49760797,0.700391007,-1.301291383,0.73383133,online_300
1uhay8wy,2,-0.21400493,-0.39408392,-0.00003072,0.232406014,-1.383702882,0.40307747,online_300
1uhay8wy,3,0.072024637,0.030073394,-0.490864089,-0.040710667,-1.280730349,0.768480076,online_300
1uhay8wy,2,-0.404000296,-0.033301811,-0.492747968,0.84631634,-1.301367401,-1.012384374,online_300
1uhay8wy,2,0.170411708,-0.436062892,-0.497237891,1.300806066,-1.311978037,-0.742963328,online_300
1uhay8wy,4,0.18366007,2.107269602,-0.49347648,0.70004887,-1.33982222,0.00060826,online_300
204u2hpl,2,-0.008788144,-0.34843328,-0.492396287,0.063670693,-0.783006821,-0.441306822,online_300
204u2hpl,4,-0.309297321,2.03124926,-0.49471266,-0.939800893,-0.28334441,0.746808823,online_300
204u2hpl,2,-0.010761182,-0.61261843,-0.493977033,0.703483046,-0.491110208,-1.03486119,online_300
204u2hpl,2,-0.670404803,-0.706296611,-0.398042797,0.70104029,-0.76076707,-0.76803272,online_300
204u2hpl,3,-0.670404803,-0.642931099,-0.466141318,-0.320380744,-0.002770704,0.311000722,online_300
204u2hpl,3,-0.482493012,-0.496209342,-0.488686972,-0.338960074,-0.023013991,-0.306210346,online_300
204u2hpl,2,1.600068163,0.009147006,-0.4980086,0.330904714,-0.393440892,-0.496029644,online_300
204u2hpl,2,-0.20090188,-0.14909946,-0.499640432,0.408608074,-0.624380287,-1.90978471,online_300
204u2hpl,2,1.144411034,-0.386619804,-0.493044836,0.716803343,-0.74036087,-0.339072,online_300
204u2hpl,2,-0.670403672,-0.020293112,-0.469024904,0.900810206,-0.712838639,0.207643948,online_300
204u2hpl,2,-0.670404803,-0.777078066,0.44792842,0.310604269,-0.098790037,0.222077989,online_300
204u2hpl,2,1.164408201,-0.4030342,-0.4923769,0.962097,-0.63190311,-0.346390021,online_300
204u2hpl,1,-0.670404803,-0.782746767,1.96136441,0.080486066,-0.772487142,0.1966968,online_300
204u2hpl,2,-0.670404803,-0.643876036,-0.419291003,0.930466933,-0.734483792,0.200069329,online_300
204u2hpl,1,-0.670404803,-0.782118623,2.070700304,0.934387862,-0.60469327,0.973810023,online_300
204u2hpl,2,-0.670299844,-0.660063498,-0.470332876,0.694262442,-0.676099179,0.262820966,online_300
204u2hpl,2,0.486067402,-0.326748363,-0.000209923,0.318100042,-0.06000098,-0.41292779,online_300
204u2hpl,1,-0.670404803,-0.783362307,2.034727038,0.046678187,-0.803012437,0.004907307,online_300
204u2hpl,2,0.09221189,-0.20080436,-0.496989946,0.99732142,-0.484688406,-1.009411007,online_300
204u2hpl,2,-0.67040436,-0.490310613,-0.463893683,0.770319399,-0.74360692,0.926886046,online_300
204u2hpl,1,-0.670404803,-0.78180623,2.36007621,0.670876932,-0.094416314,-0.207804731,online_300
2a3semr6,3,-0.094494039,-0.0806977,-0.497000691,-0.324229404,0.224219009,-0.68041129,online_300
2a3semr6,3,-0.094809606,-0.243418978,-0.499774206,-0.770034796,0.120497914,0.093962012,online_300
2a3semr6,2,-0.670404803,-0.764708314,-0.146808013,0.446044132,0.187070042,-0.143392093,online_300
2a3semr6,4,-0.109170917,0.963922949,-0.488402709,0.003602404,0.188744176,0.41004429,online_300
2a3semr6,1,-0.670404803,-0.783170639,1.620322206,0.307030002,0.096768307,0.030847464,online_300
2a3semr6,3,-0.004130739,-0.324238191,-0.491437607,-0.316123109,0.124440144,0.063147622,online_300
2a3semr6,2,-0.090220169,-0.648021837,-0.481426007,-0.020700914,0.244768996,0.168067679,online_300
2a3semr6,1,-0.670404803,-0.780662301,1.80291023,0.439399361,0.134182272,-0.20793208,online_300
2a3semr6,2,-0.669132276,-0.13179926,-0.489893431,0.342407778,0.203038703,0.164029223,online_300
2a3semr6,2,0.177399909,-0.222031727,-0.487800048,0.16004683,0.243760101,-0.020062303,online_300
2a3semr6,2,-0.670404803,-0.726771799,-0.403240398,0.423008776,0.134768396,-0.122347682,online_300
2a3semr6,2,-0.670404803,-0.00040081,-0.449248924,0.401690004,0.100197483,-0.102697306,online_300
2a3semr6,2,-0.670404803,-0.690309324,-0.398610338,0.390098768,0.110332107,-0.00011472,online_300
2a3semr6,3,-0.670404803,-0.760969131,-0.260146808,-0.399304017,0.09669212,-0.27787606,online_300
2a3semr6,1,-0.670404803,-0.784490126,2.010192704,0.406223309,0.18184798,-0.044861036,online_300
2a3semr6,2,0.027390879,-0.433204873,-0.49776784,-0.070842399,0.211917323,-0.809632103,online_300
2a3semr6,2,2.029811114,0.000207017,-0.498233209,-0.040180014,0.200082426,0.019297091,online_300
2a3semr6,3,0.023288168,0.131383107,-0.490119241,-0.47110213,0.170803036,0.296333906,online_300
2a3semr6,3,-0.670404803,-0.09341944,-0.468287674,-0.787116449,0.123907043,0.022248207,online_300
2a3semr6,3,0.366803886,0.062393917,-0.499030068,-0.298033707,0.230716741,0.122680474,online_300
2a3semr6,2,-0.670403733,-0.000924281,-0.48796933,0.430398774,0.108870998,-0.081109192,online_300
2ndm1d9t,2,-0.181940832,0.607792329,-0.490611409,-0.104637622,-1.306766462,0.373284621,online_300
2ndm1d9t,2,-0.670404803,-0.701302013,-0.326803604,-0.003839429,-1.336049021,-1.6033381,online_300
2ndm1d9t,1,-0.670404803,-0.784032204,1.848123417,-0.104640202,-1.442160164,-0.008731732,online_300
2ndm1d9t,2,1.314788378,0.14632008,-0.497093601,0.00898388,-1.408168022,0.646830326,online_300
2ndm1d9t,3,-0.670404803,-0.742214786,-0.442301991,-0.906293761,-1.374848999,1.094698232,online_300
2ndm1d9t,1,-0.670404803,-0.782133824,2.104469,0.149402107,-1.419627481,-0.74208614,online_300
2ndm1d9t,4,0.376237611,2.124060087,-0.498993648,-1.01990738,-1.34216903,0.006604227,online_300
2ndm1d9t,1,-0.670404803,-0.784602336,1.73342906,0.160963414,-1.426289206,1.002421001,online_300
2ndm1d9t,2,-0.083964111,-0.384736361,-0.490131149,0.300799319,-1.442010771,-1.29013823,online_300
2ndm1d9t,1,-0.670404803,-0.783219013,1.713613718,0.203000297,-1.433942643,-0.014240008,online_300
2ndm1d9t,3,-0.640977408,-0.120236664,-0.493021238,-0.6388722,-1.416806441,-0.466171879,online_300
2ndm1d9t,3,1.80786047,-0.248220768,-0.490666126,-0.360398009,-1.329309248,-0.496043412,online_300
2ndm1d9t,2,-0.1982829,0.00066797,-0.491414028,-0.087669611,-1.40988717,-0.320360012,online_300
2ndm1d9t,2,-0.141307028,0.068308161,-0.490430118,0.308273449,-1.428469113,-1.446820032,online_300
2ndm1d9t,2,-0.670404803,-0.662249187,-0.400090374,0.268810046,-1.407368248,-0.079067016,online_300
2ndm1d9t,2,-0.07278001,0.028221498,-0.496479623,-0.1210893,-1.397943679,-1.000873104,online_300
2ndm1d9t,3,-0.071602009,-0.623283097,-0.477924221,-0.096969437,-1.286279042,0.010420086,online_300
2ndm1d9t,3,-0.021099004,-0.077039923,-0.493870362,-0.206938306,-1.423633673,-0.842701671,online_300
2ndm1d9t,3,-0.670404803,-0.664241207,-0.431189009,-0.28030799,-1.294462796,-0.223447799,online_300
2ndm1d9t,2,-0.670404803,-0.029673702,-0.470134826,0.230001611,-1.432249078,0.202701929,online_300
2ndm1d9t,2,0.3010266,-0.048127038,-0.491034001,-0.060071018,-1.361762837,-0.24970604,online_300
2sq0rdto,2,-0.667004806,-0.499383227,-0.488292093,0.03081373,-0.443106009,0.160176874,online_300
2sq0rdto,2,1.231808699,0.21300409,-0.49362904,0.97803036,-0.330740298,0.370630694,online_300
2sq0rdto,2,0.403400107,0.931280149,-0.490098626,1.107026719,-0.419631839,-0.17801027,online_300
2sq0rdto,2,0.634841464,0.017878662,-0.001129694,1.306432749,-0.08201468,-0.40793373,online_300
2sq0rdto,1,-0.670404803,-0.783162127,1.803093744,1.273036027,-0.078434446,-0.690943941,online_300
2sq0rdto,2,-0.670404803,-0.70464684,-0.406383192,1.094798912,-0.087784607,-0.101001306,online_300
2sq0rdto,2,-0.490839878,-0.370840232,-0.4877024,1.20308171,-0.414008028,0.203861698,online_300
2sq0rdto,2,-0.661312161,-0.306607393,-0.488911017,1.600206141,-0.03080469,-0.110130932,online_300
2sq0rdto,2,0.66682323,-0.487820963,-0.001298626,0.776093338,-0.496027639,-0.009624008,online_300
2sq0rdto,4,-0.131468799,1.600203017,-0.498990613,1.409890607,-0.314234319,-0.221398218,online_300
2sq0rdto,2,-0.072083403,-0.197004042,-0.493297862,0.477022971,-0.173390691,-0.234480919,online_300
2sq0rdto,4,0.931247317,2.204606127,-0.003811141,0.49087863,-0.402920627,-0.2938037,online_300
2sq0rdto,2,-0.661401734,-0.41344001,-0.478000031,0.91277779,-0.07003072,-0.446047167,online_300
2sq0rdto,2,0.644610702,0.696001233,-0.001322026,0.83829217,-0.306170861,-0.169337649,online_300
2sq0rdto,2,-0.670402324,-0.006611907,-0.467612492,0.840691002,-0.030960084,-1.066427302,online_300
2sq0rdto,2,2.009281472,0.21000348,-0.001384614,1.306961689,-0.34812464,-0.021082303,online_300
2sq0rdto,1,-0.670404803,-0.783989266,2.440484187,0.110087976,-0.460223447,-0.060160878,online_300
2sq0rdto,4,0.417017913,4.671738499,-0.000698913,0.040679279,-0.203008994,0.036998702,online_300
2sq0rdto,2,-0.670100334,-0.366609408,-0.480600721,1.717103397,-0.401200098,1.119067929,online_300
2sq0rdto,2,2.709013034,1.240080312,-0.496903879,1.309211667,-0.287162867,0.020728349,online_300
2sq0rdto,2,-0.670404803,-0.686017473,-0.430396808,0.460023226,-0.426809404,0.4660627,online_300
2tpcke8m,2,-0.670404803,-0.076188,-0.407349866,0.312720811,-1.771489324,0.227843304,online_300
2tpcke8m,2,2.21409011,0.279714677,-0.001821989,0.000147618,-1.770997104,-0.030621092,online_300
2tpcke8m,4,1.333267643,1.374697432,-0.001616071,-0.02137983,-1.78947904,-0.433266696,online_300
2tpcke8m,2,-0.670404803,-0.700030182,-0.296468344,-0.14430881,-1.771400092,0.186003308,online_300
2tpcke8m,4,1.978071648,1.3302477,-0.499968363,0.010423097,-1.774613292,0.009914107,online_300
2tpcke8m,2,-0.61600207,-0.496647801,-0.469990411,0.604170308,-1.772128733,0.04087173,online_300
2tpcke8m,2,-0.670404803,-0.743042429,-0.329078339,0.60008274,-1.772804918,0.499089718,online_300
2tpcke8m,3,-0.6702677,-0.09977979,-0.473108219,-0.326008198,-1.77267223,-0.741770681,online_300
